county,state,population_x,lat,lon,lat_gmap,lon_gmap,total_panel_area,number_of_solar_system_per_person,average_household_income,per_capita_income,median_household_income,housing_unit_median_value,daily_solar_radiation,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,incentive_count_residential,incentive_count_nonresidential,population_y,education_high_school_graduate_rate,voting_2016_dem_percentage
Floyd County,ga,96169,34.261250000000004,-85.18509999999998,34.2828967,-85.23084140000002,17868.60627968,0.000811072175025216,56286.93113383638,20799.0,42801.65,119720.0,4.1800000000000015,11.539999999999996,9.889999999999995,5.870000000000002,19,22,4808.45,0.30572368675,0.2664817519999999
Floyd County,ia,8211,43.065,-92.794,43.06159470000001,-92.8577105,249.86387747999999,0.00036536353671903543,55929.480165146764,25200.666666666668,45419.0,97266.66666666667,3.73,11.63,8.92,5.900000000000001,18,26,2737.0,0.38253833233333334,0.397871008
Floyd County,in,71786,38.314473684210526,-85.84589473684211,38.2869276,-85.8895551,983.2884460749999,0.0003343270275541192,70290.41278311537,25777.842105263157,52900.36842105263,140078.94736842104,3.9,11.569999999999997,9.78,6.86,13,22,3778.2105263157896,0.33268223978947364,0.37445265299999986
Floyd County,ky,30281,37.546285714285716,-82.73585714285714,37.5455463,-82.7778579,605.049713967,0.00033024008454146165,45294.37749425878,17944.0,31291.714285714286,71842.85714285714,3.8700000000000006,10.24,9.44,5.4799999999999995,13,25,4325.857142857143,0.33750947900000006,0.24302402999999997
Floyd County,tx,6178,34.064,-101.303,34.0791533,-101.25237920000001,513.4396719,0.0009711880867594691,56313.9161555034,22474.5,41345.5,66500.0,5.055,11.56,8.15,5.59,47,54,3089.0,0.2847407115,0.222165475
Floyd County,va,15523,36.951,-80.33066666666667,36.9446308,-80.32131059999998,437.3108647,0.00032210268633640405,57647.19156271726,23959.333333333332,49642.666666666664,150133.33333333334,3.9766666666666666,11.37,8.21,6.95,19,16,5174.333333333333,0.3517438666666666,0.288509784
Fluvanna County,va,26014,37.87425,-78.2945,37.85328629999999,-78.24761459999998,28.08217633,3.844083954793573e-05,75435.53319455947,28193.5,62998.5,221275.0,4.1,11.37,8.21,6.95,19,16,6503.5,0.2981844605,0.426252594
Foard County,tx,1197,33.988,-99.76100000000001,33.986582500000004,-99.76786870000001,0.0,0.0,46515.38462,22871.0,36477.0,55900.0,4.86,11.56,8.15,5.59,47,54,1197.0,0.28097345100000004,0.221135029
Fond du Lac County,wi,101920,43.7684,-88.49799999999998,43.700837899999996,-88.24611829999998,1432.8215364110001,0.0005102040816326531,67821.85914354003,26762.3,55438.55,140360.0,3.729999999999999,14.110000000000005,10.889999999999995,7.580000000000001,20,28,5096.0,0.39060673145,0.34037264599999983
Ford County,il,13835,40.5396,-88.22380000000003,40.4988592,-88.2071598,216.47041692,0.0007228044813877846,62689.90586944418,26358.8,51911.6,94700.0,3.9,12.5,9.02,6.67,18,28,2767.0,0.3952531294,0.224200986
Ford County,ks,32579,37.758,-99.99933333333333,37.6540069,-99.8124935,2321.4481363,0.0011663955308634396,59858.23348676478,20414.166666666668,48861.166666666664,97466.66666666667,4.65,12.340000000000002,10.1,7.61,12,18,5429.833333333333,0.2391343956666667,0.273670034
Forest County,pa,7581,41.504,-79.26833333333332,41.53410119999999,-79.24511489999998,0.0,0.0,45234.83323250098,18342.333333333332,35179.333333333336,84800.0,3.59,13.64,9.6,7.2,17,31,2527.0,0.5366046529999999,0.261050876
Forest County,wi,9150,45.614,-88.77425,45.670449700000006,-88.83758069999998,0.0,0.0,50972.21890296503,21806.5,40910.75,128550.0,3.6,14.11,10.89,7.58,20,28,2287.5,0.40803609875,0.351231418
Forrest County,ms,66060,31.31526666666667,-89.29353333333331,31.214867699999996,-89.28472510000002,2072.20024365,0.0003330305782621859,51723.058171738114,20584.666666666668,34140.4,98686.66666666667,4.450000000000001,11.270000000000001,10.55,6.560000000000001,10,18,4404.0,0.2807593211333333,0.4130992520000001
Forsyth County,ga,191851,34.200204545454554,-84.13831818181819,34.2358502,-84.14351359999998,6546.469062486,0.0006202730243782936,108183.99943959275,34960.295454545456,88249.38636363637,260093.18181818182,4.192045454545453,11.540000000000008,9.88999999999999,5.870000000000004,19,22,4360.25,0.2015692753409091,0.24073617400000014
Forsyth County,nc,307996,36.1070641025641,-80.24602564102565,36.120000299999994,-80.1875065,68071.03737801702,0.0009091027156196834,65019.68566821192,26615.589743589742,48368.55128205128,157294.87179487178,4.02,11.279999999999982,8.73000000000001,6.509999999999994,29,33,3948.6666666666665,0.2662521165384616,0.5361343470000006
Fort Bend County,tx,614704,29.59492647058825,-95.65164705882351,29.5692614,-95.8142885,25731.335490250996,0.0006734948853431896,112439.07918961195,34538.705882352944,86720.30882352941,193736.76470588235,4.419999999999997,11.559999999999983,8.149999999999991,5.589999999999994,47,54,9039.764705882353,0.19815487322058822,0.5164825039999998
Foster County,nd,3366,47.457,-98.883,47.4991972,-98.874618,0.0,0.0,68515.2965,29710.0,55769.0,96300.0,3.71,9.62,8.83,8.07,10,17,3366.0,0.314097279,0.203649205
Fountain County,in,16888,40.175,-87.2572,40.222719700000006,-87.3347575,190.444378199,0.00011842728564661298,59886.53883057496,24477.6,46162.2,87880.0,3.88,11.57,9.78,6.860000000000001,13,22,3377.6,0.4369349924,0.197484613
Franklin County,al,31634,34.465333333333334,-87.82644444444445,34.396745700000004,-87.61863790000001,3727.64043775,0.00031611557185306946,48032.73759965575,19419.88888888889,36956.0,88444.44444444444,4.260000000000001,11.700000000000001,10.83,6.03,9,19,3514.8888888888887,0.37759055166666666,0.18377248
Franklin County,ar,17866,35.474666666666664,-93.87833333333332,35.5927966,-93.82482409999999,186.6164811,5.5972237770066045e-05,49455.49579121628,19493.0,39947.0,92933.33333333333,4.28,9.82,8.32,6.23,8,16,5955.333333333333,0.40387641933333335,0.20543445799999996
Franklin County,fl,11628,29.794,-84.89749999999998,29.7817695,-84.8567932,671.325511,0.0006879944960440316,52579.33504212332,23921.25,42349.5,151400.0,5.105,11.58,9.5,8.22,41,31,2907.0,0.33108801675,0.289521906
Franklin County,ga,22110,34.3756,-83.1932,34.3645724,-83.2077645,748.565457,0.000135685210312076,45268.100418232025,18167.2,36048.8,104400.0,4.22,11.54,9.89,5.87,19,22,4422.0,0.38422634559999996,0.146683975
Franklin County,ia,7119,42.732,-93.29799999999999,42.737236100000004,-93.3388917,351.0593252,0.0005618766680713583,58626.4073242183,25024.5,48352.0,85450.0,3.85,11.63,8.92,5.9,18,26,3559.5,0.3621967315000001,0.303153611
Franklin County,id,12914,42.1535,-111.78,42.2100342,-111.76146609999998,43.796046466,0.0003097413659594239,57535.628337170514,18781.0,48660.5,160700.0,4.55,9.93,7.8,6.6,14,19,6457.0,0.33268816999999995,0.07001273
Franklin County,il,39694,37.96733333333333,-88.9585,38.015719700000005,-88.90306,148.58030741299999,0.00020154179472968206,50887.54933292109,21642.833333333332,39883.25,68050.0,4.075833333333333,12.5,9.019999999999998,6.670000000000001,18,28,3307.8333333333335,0.34408228216666664,0.25419521900000003
