county,state,population,lat,lon,lat_gmap,lon_gmap
Benson County,nd,4660,48.04866666666667,-99.391,48.088634,-99.4648442
Bent County,co,5895,37.956,-103.072,38.0036339,-103.0817903
Benton County,ar,141134,36.33131034482758,-94.21344827586205,36.2661518,-94.479976
Benton County,ia,17041,42.05100000000001,-92.1026,42.1387249,-92.0665197
Benton County,in,8752,40.620666666666665,-87.30900000000001,40.644786,-87.3413599
Benton County,mn,27628,45.65657142857142,-94.08342857142857,45.7211058,-93.9732855
Benton County,mo,14440,38.339,-93.302,38.3534598,-93.33889169999999
Benton County,ms,8470,34.775,-89.18950000000001,34.7712669,-89.1705998
Benton County,or,65228,44.56130769230769,-123.317,44.6281686,-123.3873877
Benton County,tn,16261,36.071,-88.07660000000001,36.1170244,-88.050979
Benton County,wa,158234,46.23153333333333,-119.29119999999999,46.3166362,-119.5021582
Benzie County,mi,17437,44.6472,-86.0848,44.678277,-86.2970998
Bergen County,nj,801220,40.91561184210522,-74.05886842105264,40.9262762,-74.07701
Berkeley County,sc,158250,33.06448571428571,-80.03517142857145,33.1260618,-80.0087746
Berkeley County,wv,103914,39.45876923076923,-77.97646153846154,39.4885604,-78.0651931
Berks County,pa,352157,40.36048051948051,-75.90794805194804,40.3451566,-75.9927652
Berkshire County,ma,124923,42.4525263157895,-73.21015789473685,42.311782,-73.1821623
Bernalillo County,nm,666142,35.107377483443706,-106.60832450331125,35.0177854,-106.6291304
Berrien County,ga,19019,31.24533333333333,-83.22733333333333,31.3118535,-83.2077645
Berrien County,mi,151457,41.98017391304348,-86.41193478260868,42.0320742,-86.7416374
Bertie County,nc,16580,36.046666666666674,-76.948,36.0245185,-76.964306
Bexar County,tx,1594963,29.47511041009467,-98.51930599369098,29.4200763,-98.5721016
Bibb County,al,22604,33.05825,-87.15350000000001,32.9562798,-87.14228949999999
Bibb County,ga,153352,32.83202325581396,-83.67793023255814,32.7865735,-83.7199136
Bienville Parish,la,7493,32.37133333333333,-93.18366666666667,32.4107403,-93.0175712
Big Horn County,mt,13141,45.4744,-107.399,45.3496574,-107.2715769
Big Horn County,wy,11895,44.604000000000006,-108.04166666666667,44.6036387,-108.0941121
Big Stone County,mn,5134,45.379,-96.44366666666667,45.4932045,-96.4724
Billings County,nd,969,46.979,-103.35,47.0560305,-103.3906121
Bingham County,id,45407,43.21800000000001,-112.30087499999999,43.2112303,-112.3624146
Black Hawk County,ia,112030,42.489593750000004,-92.35284375,42.447804,-92.38136209999999
Blackford County,in,12476,40.46625,-85.34624999999998,40.49927840000001,-85.31362179999999
Bladen County,nc,28490,34.647999999999996,-78.6476,34.5882404,-78.5660852
Blaine County,id,21309,43.54625,-114.17875000000001,43.4743428,-113.9664446
Blaine County,mt,6598,48.39175,-108.82725,48.6065395,-108.9462246
Blaine County,ne,551,41.912,-99.977,41.8795565,-99.99122539999999
Blaine County,ok,8536,35.85025,-98.46424999999999,35.8825489,-98.3964938
Blair County,pa,116161,40.50243333333333,-78.37723333333334,40.4531318,-78.3842227
Blanco County,tx,10723,30.191000000000003,-98.38550000000001,30.3500511,-98.3964938
Bland County,va,6662,37.138999999999996,-81.138,37.0924986,-81.1196075
Bleckley County,ga,12746,32.40566666666667,-83.34633333333332,32.4087854,-83.3789389
Bledsoe County,tn,13686,35.58566666666666,-85.173,35.6028856,-85.2308414
Blount County,al,57710,33.96988888888888,-86.58811111111112,34.0145152,-86.49965460000001
Blount County,tn,107027,35.75452173913044,-83.97217391304348,35.6710541,-83.8473015
Blue Earth County,mn,58451,44.11913333333334,-94.0136,43.9505132,-93.9878427
Boise County,id,6885,43.969,-115.625,43.9604787,-115.8563106
Bolivar County,ms,29166,33.80171428571428,-90.82442857142858,33.8829962,-90.8294002
Bollinger County,mo,12356,37.32466666666667,-90.01533333333333,37.2115595,-90.0746767
Bon Homme County,sd,7013,42.986000000000004,-97.8905,42.9814835,-97.87216
Bond County,il,17313,38.89525,-89.42475,38.902985,-89.4742177
Bonner County,id,41066,48.257333333333335,-116.62244444444445,48.2751783,-116.5931483
Bonneville County,id,107788,43.49066666666667,-111.9963333333333,43.4508683,-111.5455289
Boone County,ar,33446,36.2695,-93.08683333333333,36.3118662,-93.0175712
Boone County,ia,18992,42.0476,-93.93960000000001,42.0881747,-93.9878427
Boone County,il,46775,42.305666666666674,-88.84283333333332,42.34849759999999,-88.8263006
Boone County,in,60511,40.023799999999994,-86.4102,40.0106163,-86.49965460000001
Boone County,ky,90685,38.97933333333334,-84.68219999999998,38.9940572,-84.7315563
Boone County,mo,110510,38.97330000000001,-92.32035000000002,39.0468547,-92.38136209999999
Boone County,ne,5373,41.673500000000004,-98.024,41.7172326,-98.04651849999999
Boone County,wv,24000,38.0295,-81.73174999999999,37.9838605,-81.73494199999999
Borden County,tx,705,32.744,-101.432,32.82331080000001,-101.4339148
Bosque County,tx,17971,31.856714285714286,-97.57842857142859,31.8507607,-97.69822719999999
Bossier Parish,la,84654,32.5414375,-93.65593749999998,32.7551322,-93.66232389999999
Botetourt County,va,28136,37.46857142857143,-79.83671428571428,37.5774613,-79.7848422
Bottineau County,nd,6634,48.79633333333334,-100.68433333333333,48.7820733,-100.7486336
Boulder County,co,303181,40.06200000000001,-105.19110447761194,40.1512114,-105.5005483
Boundary County,id,10961,48.7805,-116.418,48.7987617,-116.5627065
Bourbon County,ks,12705,37.862750000000005,-94.74275,37.7957092,-94.81059549999999
Bourbon County,ky,13667,38.1915,-84.23999999999998,38.2170752,-84.2278796
Bowie County,tx,91035,33.44411764705882,-94.2115294117647,33.4473287,-94.479976
Bowman County,nd,3221,46.173,-103.4415,46.0945462,-103.556038
Box Butte County,ne,11310,42.13433333333333,-102.91699999999999,42.19114709999999,-103.0817903
Box Elder County,ut,43997,41.54366666666667,-112.20066666666666,41.5380087,-113.1918021
Boyd County,ky,36344,38.428,-82.666,38.3833265,-82.6915429
Boyd County,ne,2039,42.88,-98.781,42.88237160000001,-98.70407499999999
Boyle County,ky,20767,37.616600000000005,-84.81159999999998,37.6526034,-84.8150781
Bracken County,ky,6025,38.6895,-84.125,38.7117016,-84.05902900000001
Bradford County,fl,27223,29.96275,-82.15575000000001,29.97238179999999,-82.1713632
Bradford County,pa,54197,41.819583333333334,-76.47966666666666,41.83625019999999,-76.5488232
Bradley County,ar,11206,33.5662,-92.10799999999999,33.5081368,-92.2236667
Bradley County,tn,85436,35.16256250000001,-84.86212499999999,35.1937778,-84.8567932
Branch County,mi,43706,41.916000000000004,-85.03458333333334,41.8913835,-85.02334599999999
Brantley County,ga,11210,31.169000000000004,-82.065,31.1510963,-81.9971108
Braxton County,wv,14466,38.69266666666667,-80.74900000000001,38.7023371,-80.7214417
Brazoria County,tx,287479,29.249808510638296,-95.39176595744682,29.2131857,-95.4777811
Brazos County,tx,168039,30.629705882352937,-96.32952941176471,30.6504141,-96.3226072
Breathitt County,ky,11040,37.52,-83.3248,37.5359616,-83.33618799999999
Breckinridge County,ky,14796,37.7248,-86.4302,37.7982002,-86.4592091
Bremer County,ia,18513,42.74,-92.35783333333335,42.76108199999999,-92.38136209999999
Brevard County,fl,550685,28.254568807339453,-80.68740366972474,28.263933,-80.7214417
Brewster County,tx,9235,30.276333333333337,-103.56566666666667,29.6629938,-103.3587288
Briscoe County,tx,1670,34.53,-101.208,34.526178,-101.1617356
Bristol County,ma,472652,41.766944444444455,-71.08661111111113,41.7938406,-71.1448516
Bristol County,ri,41658,41.71288888888889,-71.28666666666666,41.7257893,-71.3111773
Bristol city,va,17524,36.616749999999996,-82.16775000000001,36.595141,-82.1888089
Broadwater County,mt,5692,46.326,-111.4905,46.2693726,-111.4519716
Bronx County,ny,1102387,40.851372093023286,-73.87471317829457,40.8447819,-73.8648268
Brooke County,wv,23665,40.29566666666667,-80.58316666666668,40.2697757,-80.5660657
Brookings County,sd,29260,44.318200000000004,-96.82339999999999,44.4211592,-96.83509989999999
Brooks County,ga,15637,30.8418,-83.5328,30.8730159,-83.54965659999999
Brooks County,tx,7221,27.171,-98.1705,27.0273057,-98.2212979
Broome County,ny,198093,42.12727272727273,-75.93578181818181,42.1791865,-75.8533954
Broomfield County,co,57430,39.93971428571428,-105.05092857142856,39.9205411,-105.0866504
Broward County,fl,1783808,26.138654069767412,-80.2119593023256,26.190096,-80.365865
Brown County,il,6859,39.973,-90.74600000000001,39.9379573,-90.7152749
Brown County,in,15011,39.24875,-86.21924999999999,39.1749729,-86.17517590000001
Brown County,ks,9880,39.81766666666666,-95.53000000000002,39.770047,-95.4777811
Brown County,mn,23409,44.28071428571429,-94.63400000000001,44.2294379,-94.645035
Brown County,ne,3078,42.466,-99.93,42.5052914,-99.99122539999999
Brown County,oh,39963,38.92975,-83.88425000000001,38.9092089,-83.8473015
Brown County,sd,31527,45.46714285714286,-98.45414285714286,45.7581522,-98.25426519999999
Brown County,tx,35762,31.712727272727275,-98.98718181818181,31.7705105,-98.92453429999999
Brown County,wi,230236,44.49929166666667,-88.02825,44.45616740000001,-87.9334803
Brule County,sd,5330,43.7565,-99.2165,43.6572515,-99.1013498
Brunswick County,nc,100006,34.011500000000005,-78.23788461538462,34.0275398,-78.2020387
Brunswick County,va,15317,36.78225,-77.8325,36.7570589,-77.8367282
Bryan County,ga,33151,31.986666666666665,-81.38016666666665,32.0236584,-81.47183869999999
Bryan County,ok,39409,33.9601,-96.34789999999998,33.902127,-96.3226072
Buchanan County,ia,14436,42.4825,-91.93,42.4566006,-91.9099238
Buchanan County,mo,85106,39.74400000000001,-94.83087499999999,39.6349791,-94.81059549999999
Buchanan County,va,20278,37.245000000000005,-82.03150000000001,37.2403134,-81.9971108
Buckingham County,va,12545,37.602000000000004,-78.46933333333332,37.50700800000001,-78.5660852
Bucks County,pa,514044,40.239862068965536,-75.02282758620687,40.4107964,-75.2479061
Buena Vista County,ia,13738,42.691250000000004,-95.18225,42.6705452,-95.1432068
Buena Vista city,va,6666,37.729,-79.355,37.7343004,-79.35392379999999
Buffalo County,ne,47958,40.739727272727265,-99.07745454545453,40.84102180000001,-99.1013498
Buffalo County,wi,13319,44.39059999999999,-91.7594,44.3102354,-91.7538817
Bullitt County,ky,64857,38.014500000000005,-85.64342857142857,37.9842107,-85.684578
